dataset,pair_idx,protein,region,layer,mean_margin,final_model_prob1
real_PRS,3,protein2,n_term,1,-2.3472893238067627,0.9695648550987244
real_PRS,3,protein2,n_term,2,-1.5288668394088745,0.9695648550987244
real_PRS,3,protein2,n_term,3,-1.4131653308868408,0.9695648550987244
real_PRS,3,protein2,n_term,4,-0.78649529616038,0.9695648550987244
real_PRS,3,protein2,n_term,5,-0.2594684918721517,0.9695648550987244
real_PRS,3,protein2,n_term,6,-0.7031965335210164,0.9695648550987244
real_PRS,3,protein2,n_term,7,-1.011262798309326,0.9695648550987244
real_PRS,3,protein2,n_term,8,-0.6931252638498943,0.9695648550987244
real_PRS,3,protein2,n_term,9,-0.22881150245666504,0.9695648550987244
real_PRS,3,protein2,n_term,10,-0.022861830393473306,0.9695648550987244
real_PRS,3,protein2,c_term,0,-1.941178560256958,0.9695648550987244
real_PRS,3,protein2,c_term,1,-1.8520395040512085,0.9695648550987244
real_PRS,3,protein2,c_term,2,-0.7850895643234252,0.9695648550987244
real_PRS,3,protein2,c_term,3,-0.3781561533610026,0.9695648550987244
real_PRS,3,protein2,c_term,4,-0.2277161757151286,0.9695648550987244
real_PRS,3,protein2,c_term,5,0.21628555456797283,0.9695648550987244
real_PRS,3,protein2,c_term,6,0.46094088554382323,0.9695648550987244
real_PRS,3,protein2,c_term,7,0.12151269912719727,0.9695648550987244
real_PRS,3,protein2,c_term,8,0.3111480077107747,0.9695648550987244
real_PRS,3,protein2,c_term,9,0.2672149658203125,0.9695648550987244
real_PRS,3,protein2,c_term,10,0.27639074325561525,0.9695648550987244
real_PRS,3,protein2,middle,0,-2.116514523824056,0.9695648550987244
real_PRS,3,protein2,middle,1,-1.975443998972575,0.9695648550987244
real_PRS,3,protein2,middle,2,-1.247032650311788,0.9695648550987244
real_PRS,3,protein2,middle,3,-0.7326205412546793,0.9695648550987244
real_PRS,3,protein2,middle,4,-0.5985379219055176,0.9695648550987244
real_PRS,3,protein2,middle,5,-0.6795360406239828,0.9695648550987244
real_PRS,3,protein2,middle,6,-0.5335179169972738,0.9695648550987244
real_PRS,3,protein2,middle,7,-0.5712107976277669,0.9695648550987244
real_PRS,3,protein2,middle,8,-0.3583179155985514,0.9695648550987244
real_PRS,3,protein2,middle,9,-0.49780181248982747,0.9695648550987244
real_PRS,3,protein2,middle,10,-0.6818955739339193,0.9695648550987244
real_PRS,4,protein2,n_term,0,-1.7474341829617819,0.7759256958961487
real_PRS,4,protein2,n_term,1,-1.9265905062357584,0.7759256958961487
real_PRS,4,protein2,n_term,2,-1.4719835678736368,0.7759256958961487
real_PRS,4,protein2,n_term,3,-0.602072016398112,0.7759256958961487
real_PRS,4,protein2,n_term,4,-0.6676892360051473,0.7759256958961487
real_PRS,4,protein2,n_term,5,-0.46603964964548744,0.7759256958961487
real_PRS,4,protein2,n_term,6,-0.4483045101165771,0.7759256958961487
real_PRS,4,protein2,n_term,7,-0.714115047454834,0.7759256958961487
real_PRS,4,protein2,n_term,8,-0.5236672401428223,0.7759256958961487
real_PRS,4,protein2,n_term,9,-0.38440828323364257,0.7759256958961487
real_PRS,4,protein2,n_term,10,-0.71322660446167,0.7759256958961487
real_PRS,4,protein2,c_term,0,-1.516868539651235,0.7759256958961487
real_PRS,4,protein2,c_term,1,-1.6320356021324793,0.7759256958961487
real_PRS,4,protein2,c_term,2,-0.7690385103225708,0.7759256958961487
real_PRS,4,protein2,c_term,3,-0.3221438407897949,0.7759256958961487
real_PRS,4,protein2,c_term,4,0.34581880569458007,0.7759256958961487
real_PRS,4,protein2,c_term,5,0.2662280718485514,0.7759256958961487
real_PRS,4,protein2,c_term,6,0.12399152119954428,0.7759256958961487
real_PRS,4,protein2,c_term,7,0.17352886199951173,0.7759256958961487
real_PRS,4,protein2,c_term,8,0.3242390950520833,0.7759256958961487
real_PRS,4,protein2,c_term,9,0.1583080291748047,0.7759256958961487
real_PRS,4,protein2,c_term,10,0.06444431940714518,0.7759256958961487
