pair_idx,protein,region,direction,baseline_margin,patched_margin,shift
23,protein2,control,real_into_random,-1.7053604125976562,-1.7068309783935547,-0.0014705657958984375
23,protein2,control,random_into_real,2.950712203979492,2.952577590942383,0.001865386962890625
24,protein1,peak,real_into_random,-2.227144241333008,-2.2296571731567383,-0.0025129318237304688
24,protein1,peak,random_into_real,5.742042541503906,5.740237236022949,-0.0018053054809570312
24,protein1,control,real_into_random,-2.227144241333008,-2.210904121398926,0.01624011993408203
24,protein1,control,random_into_real,5.742042541503906,5.73875617980957,-0.0032863616943359375
24,protein2,peak,real_into_random,-2.227144241333008,-2.139676094055176,0.08746814727783203
24,protein2,peak,random_into_real,5.742042541503906,5.740533828735352,-0.0015087127685546875
24,protein2,control,real_into_random,-2.227144241333008,-2.2389955520629883,-0.011851310729980469
24,protein2,control,random_into_real,5.742042541503906,5.744169235229492,0.0021266937255859375
25,protein1,peak,real_into_random,-1.7816009521484375,-1.7831974029541016,-0.0015964508056640625
25,protein1,peak,random_into_real,0.3452157974243164,0.34540271759033203,0.000186920166015625
25,protein1,control,real_into_random,-1.7816009521484375,-1.7819929122924805,-0.00039196014404296875
25,protein1,control,random_into_real,0.3452157974243164,0.3464059829711914,0.001190185546875
25,protein2,peak,real_into_random,-1.7816009521484375,-1.8642902374267578,-0.08268928527832031
25,protein2,peak,random_into_real,0.3452157974243164,0.40825462341308594,0.06303882598876953
25,protein2,control,real_into_random,-1.7816009521484375,-1.7812919616699219,0.000308990478515625
25,protein2,control,random_into_real,0.3452157974243164,0.3459300994873047,0.0007143020629882812
26,protein1,peak,real_into_random,3.0593204498291016,3.0634422302246094,0.0041217803955078125
26,protein1,peak,random_into_real,-2.133525848388672,-2.1134653091430664,0.02006053924560547
26,protein1,control,real_into_random,3.0593204498291016,3.0710649490356445,0.011744499206542969
26,protein1,control,random_into_real,-2.133525848388672,-2.1390037536621094,-0.0054779052734375
26,protein2,peak,real_into_random,3.0593204498291016,3.05078125,-0.008539199829101562
26,protein2,peak,random_into_real,-2.133525848388672,-2.101914405822754,0.03161144256591797
26,protein2,control,real_into_random,3.0593204498291016,3.0538406372070312,-0.0054798126220703125
26,protein2,control,random_into_real,-2.133525848388672,-2.131831169128418,0.0016946792602539062
27,protein1,peak,real_into_random,-0.7210731506347656,-0.7296524047851562,-0.008579254150390625
27,protein1,peak,random_into_real,3.6071081161499023,3.626678466796875,0.019570350646972656
27,protein1,control,real_into_random,-0.7210731506347656,-0.7233266830444336,-0.0022535324096679688
27,protein1,control,random_into_real,3.6071081161499023,3.625852584838867,0.018744468688964844
27,protein2,peak,real_into_random,-0.7210731506347656,-0.7294254302978516,-0.008352279663085938
27,protein2,peak,random_into_real,3.6071081161499023,3.6095542907714844,0.0024461746215820312
27,protein2,control,real_into_random,-0.7210731506347656,-0.7372446060180664,-0.01617145538330078
27,protein2,control,random_into_real,3.6071081161499023,3.6112842559814453,0.004176139831542969
28,protein1,peak,real_into_random,-2.0115747451782227,-2.0083560943603516,0.0032186508178710938
28,protein1,peak,random_into_real,2.838669776916504,2.838582992553711,-8.678436279296875e-05
28,protein1,control,real_into_random,-2.0115747451782227,-2.0115890502929688,-1.430511474609375e-05
28,protein1,control,random_into_real,2.838669776916504,2.8388919830322266,0.00022220611572265625
28,protein2,peak,real_into_random,-2.0115747451782227,-2.025266647338867,-0.013691902160644531
28,protein2,peak,random_into_real,2.838669776916504,2.8450536727905273,0.0063838958740234375
28,protein2,control,real_into_random,-2.0115747451782227,-2.0114059448242188,0.00016880035400390625
28,protein2,control,random_into_real,2.838669776916504,2.837428092956543,-0.0012416839599609375
29,protein1,peak,real_into_random,-1.5218887329101562,-1.5178813934326172,0.0040073394775390625
29,protein1,peak,random_into_real,1.9262762069702148,1.9172611236572266,-0.009015083312988281
29,protein1,control,real_into_random,-1.5218887329101562,-1.519317626953125,0.00257110595703125
29,protein1,control,random_into_real,1.9262762069702148,1.917069435119629,-0.009206771850585938
29,protein2,peak,real_into_random,-1.5218887329101562,-1.4947900772094727,0.027098655700683594
29,protein2,peak,random_into_real,1.9262762069702148,1.9153728485107422,-0.010903358459472656
29,protein2,control,real_into_random,-1.5218887329101562,-1.523390769958496,-0.0015020370483398438
29,protein2,control,random_into_real,1.9262762069702148,1.9240379333496094,-0.0022382736206054688
30,protein1,peak,real_into_random,-1.7790498733520508,-1.7691965103149414,0.009853363037109375
30,protein1,peak,random_into_real,3.656351089477539,3.6477270126342773,-0.008624076843261719
30,protein1,control,real_into_random,-1.7790498733520508,-1.7807302474975586,-0.0016803741455078125
30,protein1,control,random_into_real,3.656351089477539,3.6776304244995117,0.021279335021972656
30,protein2,peak,real_into_random,-1.7790498733520508,-1.7807083129882812,-0.0016584396362304688
30,protein2,peak,random_into_real,3.656351089477539,3.6597108840942383,0.0033597946166992188
30,protein2,control,real_into_random,-1.7790498733520508,-1.7792167663574219,-0.00016689300537109375
30,protein2,control,random_into_real,3.656351089477539,3.656064987182617,-0.000286102294921875
31,protein1,peak,real_into_random,-2.1373348236083984,-2.1382369995117188,-0.0009021759033203125
31,protein1,peak,random_into_real,0.7190628051757812,0.7616720199584961,0.042609214782714844
31,protein1,control,real_into_random,-2.1373348236083984,-2.138387680053711,-0.0010528564453125
31,protein1,control,random_into_real,0.7190628051757812,0.7474489212036133,0.02838611602783203
31,protein2,peak,real_into_random,-2.1373348236083984,-1.836613655090332,0.3007211685180664
31,protein2,peak,random_into_real,0.7190628051757812,0.639826774597168,-0.07923603057861328
31,protein2,control,real_into_random,-2.1373348236083984,-2.138418197631836,-0.0010833740234375
31,protein2,control,random_into_real,0.7190628051757812,0.714787483215332,-0.004275321960449219
32,protein1,peak,real_into_random,-1.3977575302124023,-1.4012641906738281,-0.0035066604614257812
