dataset,pair_idx,region,layer,mean_margin
RRS,4,middle,5,0.21582226753234862
RRS,4,middle,6,0.07940781911214193
RRS,4,middle,7,-0.004105949401855468
RRS,4,middle,8,0.08276999791463216
RRS,4,middle,9,0.03381067911783854
RRS,4,middle,10,0.012429428100585938
RRS,4,c_term,0,-2.0067655642827353
RRS,4,c_term,1,-2.047496567169825
RRS,4,c_term,2,-0.9745278517405193
RRS,4,c_term,3,-0.43810370763142903
RRS,4,c_term,4,-0.1851652463277181
RRS,4,c_term,5,0.05421746571858724
RRS,4,c_term,6,-0.05359948476155599
RRS,4,c_term,7,-0.026923974355061848
RRS,4,c_term,8,0.07773313522338868
RRS,4,c_term,9,0.045444552103678384
RRS,4,c_term,10,0.06609277725219727
RRS,5,n_term,0,-1.4511361440022787
RRS,5,n_term,1,-1.758582305908203
RRS,5,n_term,2,-1.2975287755330405
RRS,5,n_term,3,-0.8989122072855632
RRS,5,n_term,4,-1.1629870732625325
RRS,5,n_term,5,-0.9009784042835236
RRS,5,n_term,6,-1.037656847635905
RRS,5,n_term,7,-1.1127580602963765
RRS,5,n_term,8,-0.8101310888926189
RRS,5,n_term,9,-0.5930908838907878
RRS,5,n_term,10,-1.580292828877767
RRS,5,middle,0,-1.5225342512130737
RRS,5,middle,1,-1.7769515593846639
RRS,5,middle,2,-1.184964688618978
RRS,5,middle,3,-0.7523825645446778
RRS,5,middle,4,-0.5710299809773763
RRS,5,middle,5,0.05603366692860921
RRS,5,middle,6,0.09901833534240723
RRS,5,middle,7,0.10259114901224772
RRS,5,middle,8,0.018349329630533855
RRS,5,middle,9,-0.061562506357828777
RRS,5,middle,10,0.03953816095987956
RRS,5,c_term,0,-1.6924680153528848
RRS,5,c_term,1,-1.7724155028661093
RRS,5,c_term,2,-1.148797599474589
RRS,5,c_term,3,-0.7319238026936848
RRS,5,c_term,4,-0.35206079483032227
RRS,5,c_term,5,0.21896332899729412
RRS,5,c_term,6,-0.020539077123006184
RRS,5,c_term,7,0.06485020319620768
RRS,5,c_term,8,0.027545785903930663
RRS,5,c_term,9,0.007664775848388672
RRS,5,c_term,10,-0.16020304361979168
RRS,6,n_term,0,-1.5540283997853597
RRS,6,n_term,1,-1.6784179051717123
RRS,6,n_term,2,-1.599245007832845
RRS,6,n_term,3,-0.8937158584594727
RRS,6,n_term,4,-0.49619853496551514
RRS,6,n_term,5,0.06365953286488851
RRS,6,n_term,6,-0.40106581846872963
RRS,6,n_term,7,-0.4245061715443929
RRS,6,n_term,8,-0.37351619402567543
RRS,6,n_term,9,-0.28243473370869954
RRS,6,n_term,10,-1.1900639851888022
RRS,6,middle,0,-1.4077624559402466
RRS,6,middle,1,-1.2856431712706884
RRS,6,middle,2,-0.6110341469446818
RRS,6,middle,3,-0.7179853121439616
RRS,6,middle,4,-0.3461652437845866
RRS,6,middle,5,0.16878904898961386
RRS,6,middle,6,-0.34295546213785805
RRS,6,middle,7,-0.31944119135538734
RRS,6,middle,8,-0.33980544408162433
RRS,6,middle,9,-0.4584869066874186
RRS,6,middle,10,-0.24303490320841473
RRS,6,c_term,0,-1.8270146687825521
RRS,6,c_term,1,-1.7294331789016724
RRS,6,c_term,2,-0.9026487151781718
RRS,6,c_term,3,-0.47312885920206704
RRS,6,c_term,4,-0.25230334599812826
RRS,6,c_term,5,0.21897147496541342
RRS,6,c_term,6,0.03724117279052734
RRS,6,c_term,7,0.09078133900960286
RRS,6,c_term,8,0.17238165537516276
RRS,6,c_term,9,0.05729316075642903
RRS,6,c_term,10,0.11647955576578777
RRS,7,n_term,0,-1.3972187717755635
RRS,7,n_term,1,-1.5851223071416218
RRS,7,n_term,2,-1.370890235900879
RRS,7,n_term,3,-1.1816604614257813
RRS,7,n_term,4,-1.3099271615346273
RRS,7,n_term,5,-0.7722754120826721
RRS,7,n_term,6,-0.8383561491966247
RRS,7,n_term,7,-0.860426926612854
RRS,7,n_term,8,-0.6640554000933965
RRS,7,n_term,9,-0.45359034140904747
RRS,7,n_term,10,-1.4195058504740397
RRS,7,middle,0,-1.9189766903718313
RRS,7,middle,1,-2.085147964954376
RRS,7,middle,2,-1.2175355911254884
RRS,7,middle,3,-0.6371364593505859
RRS,7,middle,4,-0.23132101694742838
RRS,7,middle,5,0.12134281794230144
RRS,7,middle,6,-0.02310018539428711
RRS,7,middle,7,-0.0077495574951171875
RRS,7,middle,8,0.13573179244995118
RRS,7,middle,9,0.08186578750610352
RRS,7,middle,10,0.10740734736124674
RRS,7,c_term,0,-2.018406844139099
RRS,7,c_term,1,-2.1031391521294913
RRS,7,c_term,2,-1.1255386034647623
RRS,7,c_term,3,-0.574806022644043
RRS,7,c_term,4,-0.21985460917154948
RRS,7,c_term,5,0.3970486640930176
RRS,7,c_term,6,0.0442111333211263
RRS,7,c_term,7,0.24798202514648438
RRS,7,c_term,8,0.16138696670532227
RRS,7,c_term,9,-0.18125956853230793
RRS,7,c_term,10,-0.4627640724182129
RRS,8,n_term,0,-1.2984809637069703
RRS,8,n_term,1,-1.5026801586151124
RRS,8,n_term,2,-1.2699413776397706
RRS,8,n_term,3,-0.8153659184773763
RRS,8,n_term,4,-0.8893178621927897
RRS,8,n_term,5,-0.8332415421803793
RRS,8,n_term,6,-0.804261843363444
RRS,8,n_term,7,-0.7886097033818563
RRS,8,n_term,8,-0.5930892864863078
RRS,8,n_term,9,-0.47992061376571654
RRS,8,n_term,10,-0.810429052511851
RRS,8,middle,0,-1.4537589470545451
RRS,8,middle,1,-1.6282918830712636
RRS,8,middle,2,-0.634928560256958
RRS,8,middle,3,-0.19911381403605144
RRS,8,middle,4,0.4425300280253092
RRS,8,middle,5,0.9407997449239095
RRS,8,middle,6,0.5125633557637532
RRS,8,middle,7,0.5554664293924968
RRS,8,middle,8,0.5697128931681316
RRS,8,middle,9,0.3337551752726237
RRS,8,middle,10,0.007633272806803385
RRS,8,c_term,0,-1.6143334706624348
RRS,8,c_term,1,-1.623400616645813
RRS,8,c_term,2,-0.807174563407898
RRS,8,c_term,3,-0.5269056955973307
RRS,8,c_term,4,0.09792210261027018
RRS,8,c_term,5,0.26956872940063475
RRS,8,c_term,6,-0.050380547841389976
RRS,8,c_term,7,-0.009471511840820313
RRS,8,c_term,8,0.042269293467203775
RRS,8,c_term,9,-0.036186631520589194
RRS,8,c_term,10,0.09313116073608399
RRS,9,n_term,0,-1.4124863704045614
RRS,9,n_term,1,-1.5168391784032187
RRS,9,n_term,2,-1.2831180890401204
RRS,9,n_term,3,-0.7627952098846436
RRS,9,n_term,4,-0.4218085924784342
RRS,9,n_term,5,0.10760788917541504
RRS,9,n_term,6,-0.049285538991292316
RRS,9,n_term,7,0.09143856366475424
RRS,9,n_term,8,0.04549077351888021
RRS,9,n_term,9,0.04954678217569987
RRS,9,n_term,10,-0.4830275615056356
RRS,9,middle,0,-1.9330887158711751
RRS,9,middle,1,-1.9866461435953775
RRS,9,middle,2,-1.48317289352417
RRS,9,middle,3,-1.0550138473510742
RRS,9,middle,4,-0.867306645711263
RRS,9,middle,5,-0.7545530637105305
RRS,9,middle,6,-0.4779707908630371
RRS,9,middle,7,-0.3256474494934082
RRS,9,middle,8,-0.055905628204345706
RRS,9,middle,9,-0.03125454584757487
RRS,9,middle,10,-0.32427549362182617
RRS,9,c_term,0,-1.9900143225987752
RRS,9,c_term,1,-2.151307447751363
RRS,9,c_term,2,-1.4029284636179606
RRS,9,c_term,3,-1.1481314659118653
RRS,9,c_term,4,-0.9723804791768392
RRS,9,c_term,5,-0.5487095197041829
RRS,9,c_term,6,-0.29198233286539715
RRS,9,c_term,7,-0.29354104995727537
RRS,9,c_term,8,-0.16650673548380535
RRS,9,c_term,9,-0.1377490997314453
RRS,9,c_term,10,0.13527243932088215
RRS,10,n_term,0,-1.4184429804484049
RRS,10,n_term,1,-1.5792611201604208
RRS,10,n_term,2,-1.341417630513509
RRS,10,n_term,3,-0.8904123942057292
RRS,10,n_term,4,-0.5315459569295248
RRS,10,n_term,5,-0.2867006301879883
RRS,10,n_term,6,-0.39223499298095704
RRS,10,n_term,7,-0.4895754019419352
RRS,10,n_term,8,-0.4023930867513021
RRS,10,n_term,9,-0.3953998883565267
RRS,10,n_term,10,-0.5994785308837891
RRS,10,middle,0,-1.4540931383768718
RRS,10,middle,1,-1.7167959054311117
RRS,10,middle,2,-1.1450182278951009
RRS,10,middle,3,-0.8962262153625489
RRS,10,middle,4,-0.4769663492838542
RRS,10,middle,5,-0.10383119583129882
RRS,10,middle,6,-0.3166887919108073
RRS,10,middle,7,-0.3765756607055664
RRS,10,middle,8,-0.2568120320638021
RRS,10,middle,9,-0.3767441431681315
RRS,10,middle,10,-0.31317930221557616
RRS,10,c_term,0,-1.5928969025611877
RRS,10,c_term,1,-1.6976319829622903
RRS,10,c_term,2,-0.9479804118474324
RRS,10,c_term,3,-0.6657403310139974
RRS,10,c_term,4,-0.44587752024332683
RRS,10,c_term,5,-0.39334378242492674
RRS,10,c_term,6,-0.5085058212280273
RRS,10,c_term,7,-0.4787321408589681
RRS,10,c_term,8,-0.3481229464213053
RRS,10,c_term,9,-0.4354593594868978
RRS,10,c_term,10,-0.3631961504618327
RRS,11,n_term,0,-1.6603254874547322
RRS,11,n_term,1,-1.7491328954696654
RRS,11,n_term,2,-1.5663868268330892
RRS,11,n_term,3,-0.9111369132995606
RRS,11,n_term,4,-0.9100555658340455
RRS,11,n_term,5,-0.6383735378583272
RRS,11,n_term,6,-0.7025554259618123
RRS,11,n_term,7,-0.5341951390107472
RRS,11,n_term,8,-0.6088292837142945
RRS,11,n_term,9,-0.8235533873240153
RRS,11,n_term,10,-1.78690505027771
RRS,11,middle,0,-1.5895562887191772
RRS,11,middle,1,-1.6753919502099355
RRS,11,middle,2,-0.8998677372932434
RRS,11,middle,3,-0.7712993303934733
RRS,11,middle,4,-0.423418124516805
RRS,11,middle,5,-0.24044548670450847
RRS,11,middle,6,-0.32279780705769856
