dataset,pair_idx,region,layer,mean_margin,final_model_prob1
real_PRS,3,middle,0,-2.1797983487447103,0.9695648550987244
real_PRS,3,middle,1,-2.009098704655965,0.9695648550987244
real_PRS,3,middle,2,-1.6152751922607422,0.9695648550987244
real_PRS,3,middle,3,-0.7426561037699382,0.9695648550987244
real_PRS,3,middle,4,-1.3071628967920939,0.9695648550987244
real_PRS,3,middle,5,-0.40767499605814617,0.9695648550987244
real_PRS,3,middle,6,0.17503344813982646,0.9695648550987244
real_PRS,3,middle,7,0.6015066146850586,0.9695648550987244
real_PRS,3,middle,8,0.8026401996612549,0.9695648550987244
real_PRS,3,middle,9,0.09790643056233723,0.9695648550987244
real_PRS,3,middle,10,0.27320759296417235,0.9695648550987244
real_PRS,4,n_term,0,-1.0196535567442575,0.7759256958961487
real_PRS,4,n_term,1,-0.9818712552388509,0.7759256958961487
real_PRS,4,n_term,2,-0.9878866712252299,0.7759256958961487
real_PRS,4,n_term,3,-0.8030304352442423,0.7759256958961487
real_PRS,4,n_term,4,-0.2830419143040975,0.7759256958961487
real_PRS,4,n_term,5,0.1947732408841451,0.7759256958961487
real_PRS,4,n_term,6,0.005322706699371338,0.7759256958961487
real_PRS,4,n_term,7,0.15376249551773072,0.7759256958961487
real_PRS,4,n_term,8,0.41473817427953086,0.7759256958961487
real_PRS,4,n_term,9,0.7046618700027466,0.7759256958961487
real_PRS,4,n_term,10,-0.24627726475397746,0.7759256958961487
real_PRS,4,c_term,0,-1.3847008228302002,0.7759256958961487
real_PRS,4,c_term,1,-1.6684704144795737,0.7759256958961487
real_PRS,4,c_term,2,-0.8061903953552246,0.7759256958961487
real_PRS,4,c_term,3,-0.37808809280395506,0.7759256958961487
real_PRS,4,c_term,4,-0.1974845250447591,0.7759256958961487
real_PRS,4,c_term,5,0.3654463827610016,0.7759256958961487
real_PRS,4,c_term,6,0.5858023881912231,0.7759256958961487
real_PRS,4,c_term,7,1.0632365465164184,0.7759256958961487
real_PRS,4,c_term,8,1.4027408440907796,0.7759256958961487
real_PRS,4,c_term,9,1.8511287728945414,0.7759256958961487
